"weather_code_wmo","weather_code","weather_code_desc","weather_code_desc_short"
"0","1","Clear sky","Clear"
"1, 2, 3","2","Mainly clear, partly cloudy, and overcast","Clear"
"45, 48","3","Fog and depositing rime fog","Fog"
"51, 53, 55","4","Drizzle: Light, moderate, and dense intensity","Drizzle"
"56, 57","5","Freezing Drizzle: Light and dense intensity","Drizzle"
"61, 63, 65","6","Rain: Slight, moderate and heavy intensity","Rain"
"66, 67","7","Freezing Rain: Light and heavy intensity","Rain"
"71, 73, 75","8","Snow fall: Slight, moderate, and heavy intensity","Snow"
"77","9","Snow grains","Snow"
"80, 81, 82","10","Rain showers: Slight, moderate, and violent","Rain heavy"
"85, 86","11","Snow showers slight and heavy","Snow heavy"
"95","12","Thunderstorm: Slight or moderate","Thunderstorm"
"96, 99","13","Thunderstorm with slight and heavy hail","Thunderstorm"
